left,label,right
16,WCs,0
1,Won,0
1,High,0
14.6,Avg,0
66,GP,0
31,W,0
17,D,0
18,L,0
108,GF,0
1.64,GFpg,0
74,GA,0
1.12,GApg,0
110,P,0
1.67,PPG,0
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Belgium,=== MATCH 14 ===,Egypt
14,WCs,3
0,Won,0
3.5,High,12.5
14.9,Avg,20.2
51,GP,7
21,W,0
10,D,2
20,L,5
69,GF,5
1.35,GFpg,0.71
74,GA,12
1.45,GApg,1.71
73,P,2
1.43,PPG,0.29
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Saudi Arabia,=== MATCH 15 ===,Uruguay
6,WCs,14
0,Won,2
12.5,High,1
22.1,Avg,13.0
19,GP,59
4,W,25
2,D,13
13,L,21
14,GF,89
0.74,GFpg,1.51
44,GA,76
2.32,GApg,1.29
14,P,88
0.74,PPG,1.49
,-- H2H --,
1,H2H GP,1
0,H2H W,1
0,H2H D,0
1,H2H L,0
0,H2H GF,1
1,H2H GA,0
,,
Iran,=== MATCH 16 ===,New Zealand
6,WCs,2
0,Won,0
24,High,24
24,Avg,24
18,GP,6
3,W,0
4,D,3
11,L,3
13,GF,4
0.72,GFpg,0.67
31,GA,14
1.72,GApg,2.33
13,P,3
0.72,PPG,0.5
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
France,=== MATCH 17 ===,Senegal
16,WCs,3
2,Won,0
1,High,6.5
11.6,Avg,14.3
73,GP,12
39,W,5
14,D,3
20,L,4
136,GF,16
1.86,GFpg,1.33
85,GA,17
1.16,GApg,1.42
131,P,18
1.79,PPG,1.5
,-- H2H --,
1,H2H GP,1
0,H2H W,1
0,H2H D,0
1,H2H L,0
0,H2H GF,1
1,H2H GA,0
,,
Iraq,=== MATCH 18 ===,Norway
1,WCs,3
0,Won,0
24,High,12.5
24,Avg,16.3
3,GP,8
0,W,2
0,D,3
3,L,3
1,GF,7
0.33,GFpg,0.88
4,GA,8
1.33,GApg,1.0
0,P,9
0.0,PPG,1.12
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Argentina,=== MATCH 19 ===,Algeria
18,WCs,4
3,Won,0
1,High,12.5
9.5,Avg,21.1
88,GP,13
47,W,3
17,D,3
24,L,7
152,GF,13
1.73,GFpg,1.0
101,GA,19
1.15,GApg,1.46
158,P,12
1.8,PPG,0.92
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Austria,=== MATCH 20 ===,Jordan
7,WCs,0
0,Won,0
3.5,High,0
14.9,Avg,0
29,GP,0
12,W,0
4,D,0
13,L,0
43,GF,0
1.48,GFpg,0
47,GA,0
1.62,GApg,0
40,P,0
1.38,PPG,0
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Portugal,=== MATCH 21 ===,DR Congo
8,WCs,1
0,Won,0
3.5,High,24
13.8,Avg,24
35,GP,3
17,W,0
6,D,0
12,L,3
61,GF,0
1.74,GFpg,0.0
41,GA,14
1.17,GApg,4.67
57,P,0
1.63,PPG,0.0
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
England,=== MATCH 22 ===,Croatia
16,WCs,6
1,Won,0
1,High,2
10.2,Avg,13.5
74,GP,30
32,W,13
22,D,8
20,L,9
104,GF,43
1.41,GFpg,1.43
68,GA,33
0.92,GApg,1.1
118,P,47
1.59,PPG,1.57
,-- H2H --,
1,H2H GP,1
0,H2H W,1
0,H2H D,0
1,H2H L,0
1,H2H GF,2
2,H2H GA,1
,,
Ghana,=== MATCH 23 ===,Panama
4,WCs,1
0,Won,0
6.5,High,24
16.8,Avg,24
15,GP,3
5,W,0
3,D,0
7,L,3
18,GF,2
1.2,GFpg,0.67
23,GA,11
1.53,GApg,3.67
18,P,0
1.2,PPG,0.0
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Uzbekistan,=== MATCH 24 ===,Colombia
0,WCs,6
0,Won,0
0,High,6.5
0,Avg,17.2
0,GP,22
0,W,9
0,D,3
0,L,10
0,GF,32
0,GFpg,1.45
0,GA,30
0,GApg,1.36
0,P,30
0,PPG,1.36
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Czech Republic,=== MATCH 25 ===,South Africa
1,WCs,3
0,Won,0
24,High,24
24,Avg,24
3,GP,9
1,W,2
0,D,4
2,L,3
3,GF,11
1.0,GFpg,1.22
4,GA,16
1.33,GApg,1.78
3,P,10
1.0,PPG,1.11
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Switzerland,=== MATCH 26 ===,Bosnia & Herzegovina
12,WCs,1
0,Won,0
6.5,High,24
14.8,Avg,24
40,GP,3
13,W,1
8,D,0
19,L,2
51,GF,4
1.27,GFpg,1.33
71,GA,4
1.77,GApg,1.33
47,P,3
1.18,PPG,1.0
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Canada,=== MATCH 27 ===,Qatar
2,WCs,1
0,Won,0
24,High,24
24,Avg,24
6,GP,3
0,W,0
0,D,0
6,L,3
2,GF,1
0.33,GFpg,0.33
12,GA,7
2.0,GApg,2.33
0,P,0
0.0,PPG,0.0
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Mexico,=== MATCH 28 ===,South Korea
17,WCs,11
0,Won,0
6.5,High,3.5
17.2,Avg,20.0
60,GP,38
17,W,7
15,D,10
28,L,21
62,GF,39
1.03,GFpg,1.03
101,GA,78
1.68,GApg,2.05
66,P,31
1.1,PPG,0.82
,-- H2H --,
2,H2H GP,2
2,H2H W,0
0,H2H D,0
0,H2H L,2
5,H2H GF,2
2,H2H GA,5
,,
USA,=== MATCH 29 ===,Australia
11,WCs,6
0,Won,0
3.5,High,12.5
15.3,Avg,20.2
37,GP,20
9,W,4
8,D,4
20,L,12
40,GF,17
1.08,GFpg,0.85
66,GA,37
1.78,GApg,1.85
35,P,16
0.95,PPG,0.8
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Scotland,=== MATCH 30 ===,Morocco
8,WCs,6
0,Won,0
24,High,3.5
24,Avg,18.7
23,GP,23
4,W,5
7,D,7
12,L,11
25,GF,20
1.09,GFpg,0.87
41,GA,27
1.78,GApg,1.17
19,P,22
0.83,PPG,0.96
,-- H2H --,
1,H2H GP,1
0,H2H W,1
0,H2H D,0
1,H2H L,0
0,H2H GF,3
3,H2H GA,0
,,
Brazil,=== MATCH 31 ===,Haiti
22,WCs,1
5,Won,0
1,High,24
8.6,Avg,24
113,GP,3
75,W,0
19,D,0
19,L,3
235,GF,2
2.08,GFpg,0.67
107,GA,14
0.95,GApg,4.67
244,P,0
2.16,PPG,0.0
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Turkey,=== MATCH 32 ===,Paraguay
2,WCs,8
0,Won,0
3.5,High,6.5
13.8,Avg,17.5
10,GP,27
5,W,7
1,D,10
4,L,10
20,GF,30
2.0,GFpg,1.11
17,GA,38
1.7,GApg,1.41
16,P,31
1.6,PPG,1.15
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Netherlands,=== MATCH 33 ===,Sweden
11,WCs,12
0,Won,0
2,High,2
6.9,Avg,13.0
55,GP,51
30,W,19
14,D,13
11,L,19
96,GF,80
1.75,GFpg,1.57
52,GA,73
0.95,GApg,1.43
104,P,70
1.89,PPG,1.37
,-- H2H --,
1,H2H GP,1
0,H2H W,0
1,H2H D,1
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Germany,=== MATCH 34 ===,Ivory Coast
20,WCs,3
4,Won,0
1,High,24
6.1,Avg,24
111,GP,9
68,W,3
21,D,1
22,L,5
230,GF,13
2.07,GFpg,1.44
126,GA,14
1.14,GApg,1.56
225,P,10
2.03,PPG,1.11
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Ecuador,=== MATCH 35 ===,Curacao
4,WCs,0
0,Won,0
12.5,High,0
21.1,Avg,0
13,GP,0
5,W,0
2,D,0
6,L,0
14,GF,0
1.08,GFpg,0
14,GA,0
1.08,GApg,0
17,P,0
1.31,PPG,0
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Tunisia,=== MATCH 36 ===,Japan
6,WCs,7
0,Won,0
24,High,12.5
24,Avg,17.4
18,GP,25
3,W,7
5,D,6
10,L,12
14,GF,25
0.78,GFpg,1.0
26,GA,33
1.44,GApg,1.32
14,P,27
0.78,PPG,1.08
,-- H2H --,
1,H2H GP,1
0,H2H W,1
0,H2H D,0
1,H2H L,0
0,H2H GF,2
2,H2H GA,0
,,
Spain,=== MATCH 37 ===,Saudi Arabia
16,WCs,6
1,Won,0
1,High,12.5
14.6,Avg,22.1
66,GP,19
31,W,4
17,D,2
18,L,13
108,GF,14
1.64,GFpg,0.74
74,GA,44
1.12,GApg,2.32
110,P,14
1.67,PPG,0.74
,-- H2H --,
1,H2H GP,1
1,H2H W,0
0,H2H D,0
0,H2H L,1
1,H2H GF,0
0,H2H GA,1
,,
Belgium,=== MATCH 38 ===,Iran
14,WCs,6
0,Won,0
3.5,High,24
14.9,Avg,24
51,GP,18
21,W,3
10,D,4
20,L,11
69,GF,13
1.35,GFpg,0.72
74,GA,31
1.45,GApg,1.72
73,P,13
1.43,PPG,0.72
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Uruguay,=== MATCH 39 ===,Cape Verde
14,WCs,0
2,Won,0
1,High,0
13.0,Avg,0
59,GP,0
25,W,0
13,D,0
21,L,0
89,GF,0
1.51,GFpg,0
76,GA,0
1.29,GApg,0
88,P,0
1.49,PPG,0
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
New Zealand,=== MATCH 40 ===,Egypt
2,WCs,3
0,Won,0
24,High,12.5
24,Avg,20.2
6,GP,7
0,W,0
3,D,2
3,L,5
4,GF,5
0.67,GFpg,0.71
14,GA,12
2.33,GApg,1.71
3,P,2
0.5,PPG,0.29
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Argentina,=== MATCH 41 ===,Austria
18,WCs,7
3,Won,0
1,High,3.5
9.5,Avg,14.9
88,GP,29
47,W,12
17,D,4
24,L,13
152,GF,43
1.73,GFpg,1.48
101,GA,47
1.15,GApg,1.62
158,P,40
1.8,PPG,1.38
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
France,=== MATCH 42 ===,Iraq
16,WCs,1
2,Won,0
1,High,24
11.6,Avg,24
73,GP,3
39,W,0
14,D,0
20,L,3
136,GF,1
1.86,GFpg,0.33
85,GA,4
1.16,GApg,1.33
131,P,0
1.79,PPG,0.0
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Norway,=== MATCH 43 ===,Senegal
3,WCs,3
0,Won,0
12.5,High,6.5
16.3,Avg,14.3
8,GP,12
2,W,5
3,D,3
3,L,4
7,GF,16
0.88,GFpg,1.33
8,GA,17
1.0,GApg,1.42
9,P,18
1.12,PPG,1.5
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Jordan,=== MATCH 44 ===,Algeria
0,WCs,4
0,Won,0
0,High,12.5
0,Avg,21.1
0,GP,13
0,W,3
0,D,3
0,L,7
0,GF,13
0,GFpg,1.0
0,GA,19
0,GApg,1.46
0,P,12
0,PPG,0.92
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Portugal,=== MATCH 45 ===,Uzbekistan
8,WCs,0
0,Won,0
3.5,High,0
13.8,Avg,0
35,GP,0
17,W,0
6,D,0
12,L,0
61,GF,0
1.74,GFpg,0
41,GA,0
1.17,GApg,0
57,P,0
1.63,PPG,0
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
England,=== MATCH 46 ===,Ghana
16,WCs,4
1,Won,0
1,High,6.5
10.2,Avg,16.8
74,GP,15
32,W,5
22,D,3
20,L,7
104,GF,18
1.41,GFpg,1.2
68,GA,23
0.92,GApg,1.53
118,P,18
1.59,PPG,1.2
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Panama,=== MATCH 47 ===,Croatia
1,WCs,6
0,Won,0
24,High,2
24,Avg,13.5
3,GP,30
0,W,13
0,D,8
3,L,9
2,GF,43
0.67,GFpg,1.43
11,GA,33
3.67,GApg,1.1
0,P,47
0.0,PPG,1.57
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Colombia,=== MATCH 48 ===,DR Congo
6,WCs,1
0,Won,0
6.5,High,24
17.2,Avg,24
22,GP,3
9,W,0
3,D,0
10,L,3
32,GF,0
1.45,GFpg,0.0
30,GA,14
1.36,GApg,4.67
30,P,0
1.36,PPG,0.0
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Switzerland,=== MATCH 49 ===,Canada
12,WCs,2
0,Won,0
6.5,High,24
14.8,Avg,24
40,GP,6
13,W,0
8,D,0
19,L,6
51,GF,2
1.27,GFpg,0.33
71,GA,12
1.77,GApg,2.0
47,P,0
1.18,PPG,0.0
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Bosnia & Herzegovina,=== MATCH 50 ===,Qatar
1,WCs,1
0,Won,0
24,High,24
24,Avg,24
3,GP,3
1,W,0
0,D,0
2,L,3
4,GF,1
1.33,GFpg,0.33
4,GA,7
1.33,GApg,2.33
3,P,0
1.0,PPG,0.0
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
,,
Morocco,=== MATCH 51 ===,Haiti
6,WCs,1
0,Won,0
3.5,High,24
18.7,Avg,24
23,GP,3
5,W,0
7,D,0
11,L,3
20,GF,2
0.87,GFpg,0.67
27,GA,14
1.17,GApg,4.67
22,P,0
0.96,PPG,0.0
,-- H2H --,
0,H2H GP,0
0,H2H W,0
0,H2H D,0
0,H2H L,0
0,H2H GF,0
0,H2H GA,0
