match,slug,TEAM A,TEAM B,S0_stadium,S0_datetime,S1_WorldCups,S1_Won,S1_Best(Avg),S1_Played,S1_W,S1_D,S1_L,S1_GoalsFor(pg),S1_GoalsAgainst(pg),S1_Points(PPG),S2_H2H_W,S2_H2H_D,S2_H2H_L,S2_H2H_GF,S2_H2H_GA,S3_AllTime_A,S3_AllTime_B,S3_Watch_A,S3_Watch_B,S4_Headline_A,S4_Hook_A,S4_Headline_B,S4_Hook_B,S5_Coach_A,S5_XI_A,S5_Coach_B,S5_XI_B
11,m011-ivory-coast-vs-ecuador,Ivory Coast,Ecuador,Lincoln Financial Field,June 15 2026,3 | 4,0 | 0,24(24) | 12.5(21.1),9 | 13,3 | 5,1 | 2,5 | 6,13(1.44) | 14(1.08),14(1.56) | 14(1.08),10(1.11) | 17(1.31),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Didier Drogba (2), Aruna Dindane (2)","Enner Valencia (6), Agustín Delgado (3)",", Didier Drogba (2)",", Enner Valencia (6)",3 WORLD CUPS · OUT TO MAKE THEIR MARK,WHO STEPS UP?,ROUND OF 16 · OUT TO GO FURTHER,ALL TO PLAY FOR,,,,
12,m012-sweden-vs-tunisia,Sweden,Tunisia,Estadio BBVA,June 15 2026,12 | 6,0 | 0,2(13.0) | 24(24),51 | 18,19 | 3,13 | 5,19 | 10,80(1.57) | 14(0.78),73(1.43) | 26(1.44),70(1.37) | 14(0.78),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Kennet Andersson (5), Henrik Larsson (5)","Wahbi Khazri (3), Ali Kaabi (1)",", Andreas Granqvist (2)",", Wahbi Khazri (3)",RUNNERS-UP ONCE · STILL CHASING THE CROWN,READY FOR THE STAGE,6 WORLD CUPS · EYEING A BREAKTHROUGH,WHO STEPS UP?,,,,
13,m013-spain-vs-cape-verde,Spain,Cape Verde,Mercedes-Benz Stadium,June 15 2026,16 | 0,1 | 0,1(14.6) | 0(0),66 | 0,31 | 0,17 | 0,18 | 0,108(1.64) | 0(0),74(1.12) | 0(0),110(1.67) | 0(0),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"David Villa (9), Emilio Butragueño (5)",", ",", Diego Costa (3)",", ",1x CHAMPIONS · CHASING MORE GLORY,OUT TO MAKE THEIR MARK,FIRST-EVER WORLD CUP,ALL TO PLAY FOR,,,,
14,m014-belgium-vs-egypt,Belgium,Egypt,Lumen Field,June 15 2026,14 | 3,0 | 0,3.5(14.9) | 12.5(20.2),51 | 7,21 | 0,10 | 2,20 | 5,69(1.35) | 5(0.71),74(1.45) | 12(1.71),73(1.43) | 2(0.29),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Marc Wilmots (5), Romelu Lukaku (5)","Abdulrahman Fawzi (2), Mohamed Salah (2)",", Romelu Lukaku (5)","Mohamed Salah, Mohamed Salah (2)",SEMI-FINALISTS · THE NEARLY MEN,WHO STEPS UP?,ROUND OF 16 · OUT TO GO FURTHER,SALAH — THE PHARAOH RETURNS,,,,
15,m015-saudi-arabia-vs-uruguay,Saudi Arabia,Uruguay,Hard Rock Stadium,June 15 2026,6 | 14,0 | 2,12.5(22.1) | 1(13.0),19 | 59,4 | 25,2 | 13,13 | 21,14(0.74) | 89(1.51),44(2.32) | 76(1.29),14(0.74) | 88(1.49),0 | 1,0 | 0,1 | 0,0 | 1,1 | 0,"Sami Al-Jaber (3), Salem Al-Dawsari (3)","Oscar Míguez (8), Luis Suárez (7)",", Salem Al-Dawsari (3)",", Luis Suárez (7)",ROUND OF 16 · OUT TO GO FURTHER,EYES ON THE FINAL SQUAD,2x CHAMPIONS · CHASING MORE GLORY,THE BIG STAGE AWAITS,,,,
16,m016-iran-vs-new-zealand,Iran,New Zealand,SoFi Stadium,June 16 2026,6 | 2,0 | 0,24(24) | 24(24),18 | 6,3 | 0,4 | 3,11 | 3,13(0.72) | 4(0.67),31(1.72) | 14(2.33),13(0.72) | 3(0.5),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Mehdi Taremi (2), Andranik Eskandarian (1)","Steve Sumner (1), Steve Wooddin (1)",", Mehdi Taremi (2)",", Steve Sumner (1)",6 WORLD CUPS · EYEING A BREAKTHROUGH,THE BIG STAGE AWAITS,2 WORLD CUPS · OUT TO MAKE THEIR MARK,WHO STEPS UP?,,,,
17,m017-france-vs-senegal,France,Senegal,MetLife Stadium,June 16 2026,16 | 3,2 | 0,1(11.6) | 6.5(14.3),73 | 12,39 | 5,14 | 3,20 | 4,136(1.86) | 16(1.33),85(1.16) | 17(1.42),131(1.79) | 18(1.5),0 | 1,0 | 0,1 | 0,0 | 1,1 | 0,"Just Fontaine (13), Kylian Mbappé (12)","Papa Bouba Diop (3), Henri Camara (2)","Kylian Mbappé, Kylian Mbappé (12)",", M'Baye Niang (1)",2x CHAMPIONS · CHASING MORE GLORY,MBAPPÉ — THE HEIR TO THE THRONE,QUARTER-FINALS THEIR FINEST HOUR,WHO STEPS UP?,,,,
18,m018-iraq-vs-norway,Iraq,Norway,Gillette Stadium,June 16 2026,1 | 3,0 | 0,24(24) | 12.5(16.3),3 | 8,0 | 2,0 | 3,3 | 3,1(0.33) | 7(0.88),4(1.33) | 8(1.0),0(0.0) | 9(1.12),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Ahmed Radhi (1), ","Kjetil Rekdal (2), Arne Brustad (1)",", Ahmed Radhi (1)","Erling Haaland, Kjetil Rekdal (2)",ON THE GREATEST STAGE,WHO STEPS UP?,ROUND OF 16 · OUT TO GO FURTHER,HAALAND — THE GOAL MACHINE,,,,
19,m019-argentina-vs-algeria,Argentina,Algeria,Arrowhead Stadium,June 17 2026,18 | 4,3 | 0,1(9.5) | 12.5(21.1),88 | 13,47 | 3,17 | 3,24 | 7,152(1.73) | 13(1.0),101(1.15) | 19(1.46),158(1.8) | 12(0.92),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Lionel Messi (13), Gabriel Batistuta (10)","Salah Assad (2), Islam Slimani (2)","Lionel Messi, Lionel Messi (13)",", Salah Assad (2)",3x CHAMPIONS · CHASING MORE GLORY,MESSI — THE LAST DANCE,ROUND OF 16 · OUT TO GO FURTHER,OUT TO MAKE THEIR MARK,,,,
20,m020-austria-vs-jordan,Austria,Jordan,Levi's Stadium,June 17 2026,7 | 0,0 | 0,3.5(14.9) | 0(0),29 | 0,12 | 0,4 | 0,13 | 0,43(1.48) | 0(0),47(1.62) | 0(0),40(1.38) | 0(0),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Erich Probst (6), Hans Krankl (5)",", ",", Erich Probst (6)",", ",SEMI-FINALISTS · THE NEARLY MEN,OUT TO MAKE THEIR MARK,FIRST-EVER WORLD CUP,EYES ON THE FINAL SQUAD,,,,
21,m021-portugal-vs-dr-congo,Portugal,DR Congo,NRG Stadium,June 17 2026,8 | 1,0 | 0,3.5(13.8) | 24(24),35 | 3,17 | 0,6 | 0,12 | 3,61(1.74) | 0(0.0),41(1.17) | 14(4.67),57(1.63) | 0(0.0),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Eusébio (9), Cristiano Ronaldo (8)",", ","Cristiano Ronaldo, Cristiano Ronaldo (8)",", ",SEMI-FINALISTS · THE NEARLY MEN,RONALDO — ONE LAST CROWN?,ON THE GREATEST STAGE,EYES ON THE FINAL SQUAD,,,,
22,m022-england-vs-croatia,England,Croatia,AT&T Stadium,June 17 2026,16 | 6,1 | 0,1(10.2) | 2(13.5),74 | 30,32 | 13,22 | 8,20 | 9,104(1.41) | 43(1.43),68(0.92) | 33(1.1),118(1.59) | 47(1.57),0 | 1,0 | 0,1 | 0,1 | 2,2 | 1,"Gary Lineker (10), Harry Kane (8)","Davor Šuker (6), Ivan Perišić (6)","Harry Kane, Harry Kane (8)","Luka Modrić, Ivan Perišić (6)",1x CHAMPIONS · CHASING MORE GLORY,KANE HUNTS THE CROWN,RUNNERS-UP ONCE · STILL CHASING THE CROWN,MODRIĆ — ONE MORE MIRACLE?,,,,
23,m023-ghana-vs-panama,Ghana,Panama,BMO Field,June 18 2026,4 | 1,0 | 0,6.5(16.8) | 24(24),15 | 3,5 | 0,3 | 0,7 | 3,18(1.2) | 2(0.67),23(1.53) | 11(3.67),18(1.2) | 0(0.0),0 | 0,0 | 0,0 | 0,0 | 0,0 | 0,"Asamoah Gyan (6), André Ayew (3)","Felipe Baloy (1), ",", André Ayew (3)",", Felipe Baloy (1)",QUARTER-FINALS THEIR FINEST HOUR,ALL TO PLAY FOR,ON THE GREATEST STAGE,READY FOR THE STAGE,,,,
