imageUrl,name,color,1930,1950,1954,1958,1962,1966,1970,1978,1986,1994,1998,2002,2006,2010,2014,2018,2022
../assets/flag-mex.png,Mexico,#006847,4,6,8,9,12,13,19,21,27,31,39,43,48,52,57,60,62
../assets/flag-rsa.png,South Africa,#007a4d,,,,,,,,,,,5,9,9,11,11,11,11
