code,player,wc_goals,wc_assists,wc_apps,years,note
AUS,Tim Cahill,5,,,2006;2010;2014,
AUS,Mile Jedinak,3,,,2014;2018,
AUS,Brett Holman,2,,,2010,
AUS,Colin Curran,1,,,1974,
AUS,John Aloisi,1,,,2006,
AUS,Craig Moore,1,,,2006,
AUS,Harry Kewell,1,,,2006,
AUS,Aziz Behich,1,,,2018,
AUS,Craig Goodwin,1,,,2022,
AUS,Mitchell Duke,1,,,2022,
AUS,Mathew Leckie,1,,,2022,
