code,player,wc_goals,wc_assists,wc_apps,years,note
UKR,Andriy Shevchenko,2,,,2006,
UKR,Andriy Rusol,1,,,2006,
UKR,Serhii Rebrov,1,,,2006,
UKR,Maksym Kalynychenko,1,,,2006,
