code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
DDR,East Germany,1974,group,1,Australia,AUS,2,0,W,,
DDR,East Germany,1974,group,2,Chile,CHL,1,1,D,,
DDR,East Germany,1974,group,3,West Germany,GER,1,0,W,,
DDR,East Germany,1974,group2,4,Brazil,BRA,0,1,L,,
DDR,East Germany,1974,group2,5,Netherlands,NED,0,2,L,,
DDR,East Germany,1974,group2,6,Argentina,ARG,1,1,D,,
