code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
CIV,Ivory Coast,2006,group,1,Argentina,ARG,1,2,L,,
CIV,Ivory Coast,2006,group,2,Netherlands,NED,1,2,L,,
CIV,Ivory Coast,2006,group,3,Serbia and Montenegro,SCG,3,2,W,,
CIV,Ivory Coast,2010,group,4,Portugal,POR,0,0,D,,
CIV,Ivory Coast,2010,group,5,Brazil,BRA,1,3,L,,
CIV,Ivory Coast,2010,group,6,North Korea,PRK,3,0,W,,
CIV,Ivory Coast,2014,group,7,Japan,JPN,2,1,W,,
CIV,Ivory Coast,2014,group,8,Colombia,COL,1,2,L,,
CIV,Ivory Coast,2014,group,9,Greece,GRC,1,2,L,,
