code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
SRB,Serbia,2010,group,1,Ghana,GHA,0,1,L,,
SRB,Serbia,2010,group,2,Germany,GER,1,0,W,,
SRB,Serbia,2010,group,3,Australia,AUS,1,2,L,,
SRB,Serbia,2018,group,4,Costa Rica,CRI,1,0,W,,
SRB,Serbia,2018,group,5,Switzerland,SUI,1,2,L,,
SRB,Serbia,2018,group,6,Brazil,BRA,0,2,L,,
SRB,Serbia,2022,group,7,Brazil,BRA,0,2,L,,
SRB,Serbia,2022,group,8,Cameroon,CMR,3,3,D,,
SRB,Serbia,2022,group,9,Switzerland,SUI,2,3,L,,
