code,player,wc_goals,wc_assists,wc_apps,years,note
ECU,Enner Valencia,6,,,2014;2022,
ECU,Agustín Delgado,3,,,2002;2006,
ECU,Carlos Tenorio,2,,,2006,
ECU,Édison Méndez,1,,,2002,
ECU,Iván Kaviedes,1,,,2006,
ECU,Moisés Caicedo,1,,,2022,
