code,team,year,stage,match_no_wc,opponent,opponent_code,gf,ga,result,host,note
SLV,El Salvador,1970,group,1,Belgium,BEL,0,3,L,,
SLV,El Salvador,1970,group,2,Mexico,MEX,0,4,L,,
SLV,El Salvador,1970,group,3,Soviet Union,SUN,0,2,L,,
SLV,El Salvador,1982,group,4,Hungary,HUN,1,10,L,,
SLV,El Salvador,1982,group,5,Belgium,BEL,0,1,L,,
SLV,El Salvador,1982,group,6,Argentina,ARG,0,2,L,,
