code,player,wc_goals,wc_assists,wc_apps,years,note
KSA,Sami Al-Jaber,3,,,1994;1998;2006,
KSA,Salem Al-Dawsari,3,,,2018;2022,
KSA,Fuad Anwar,2,,,1994,
KSA,Saeed Al-Owairan,1,,,1994,
KSA,Fahad Al-Ghesheyan,1,,,1994,
KSA,Yousuf Al-Thunayan,1,,,1998,
KSA,Yasser Al-Qahtani,1,,,2006,
KSA,Salman Al-Faraj,1,,,2018,
KSA,Saleh Al-Shehri,1,,,2022,
