code,player,wc_goals,wc_assists,wc_apps,years,note
RUS,Oleg Salenko,6,,,1994,
RUS,Denis Cheryshev,5,,,2018,
RUS,Artem Dzyuba,3,,,2018,
RUS,Dmitri Radchenko,1,,,1994,
RUS,Yegor Titov,1,,,2002,
RUS,Valeri Karpin,1,,,2002,
RUS,Vladimir Beschastnykh,1,,,2002,
RUS,Dmitri Sychev,1,,,2002,
RUS,Aleksandr Kerzhakov,1,,,2014,
RUS,Aleksandr Kokorin,1,,,2014,
RUS,Yury Gazinsky,1,,,2018,
RUS,Aleksandr Golovin,1,,,2018,
RUS,Sergei Ignashevich,1,,,2018,
RUS,Mário Fernandes,1,,,2018,
